,questionLabel,truth,surveyIssued
0,Q0-1,,2020-02-17
1,QR-1-0,,2020-02-17
2,QR-2-0,,2020-02-17
3,QF-1-0,1.0,2020-02-17
4,QF-1-1_1,1.0,2020-02-17
5,QF-2-0,1.0,2020-02-17
6,QF-2-1_1,1.0,2020-02-17
7,QF-2-2_1,35.0,2020-02-17
8,QF-2-2_2,35.0,2020-02-17
9,QF-2-2_3,35.0,2020-02-17
10,QF-3-0,,2020-02-17
0,Q0-1,,2020-02-24
1,QR-1-0,,2020-02-24
2,QR-2-0,,2020-02-24
3,QF1,1.0,2020-02-24
4,QF2_1,1.0,2020-02-24
5,QF3,1.0,2020-02-24
6,QF4_1,1.0,2020-02-24
7,QF5_1,62.0,2020-02-24
8,QF5_2,62.0,2020-02-24
9,QF5_3,62.0,2020-02-24
10,QF6_1,7.0,2020-02-24
11,QF6_2,7.0,2020-02-24
12,QF6_3,7.0,2020-02-24
13,QF7,,2020-02-24
0,Q0-1,,2020-03-02
1,QR-1-0,,2020-03-02
2,QR-2-0,,2020-03-02
3,QF1_1,423.0,2020-03-02
4,QF1_2,423.0,2020-03-02
5,QF1_3,423.0,2020-03-02
6,QF2_1,3487.0,2020-03-02
7,QF2_2,3487.0,2020-03-02
8,QF2_3,3487.0,2020-03-02
9,QF3_1,35.0,2020-03-02
10,QF3_2,35.0,2020-03-02
11,QF3_3,35.0,2020-03-02
12,QF4_1,,2020-03-02
13,QF4_2,,2020-03-02
14,QF4_3,,2020-03-02
15,QF5_1,,2020-03-02
16,QF5_2,,2020-03-02
17,QF5_3,,2020-03-02
18,QF6_1,17.0,2020-03-02
19,QF6_2,17.0,2020-03-02
20,QF6_3,17.0,2020-03-02
21,QF7,,2020-03-02
0,Q0-1,,2020-03-09
1,QR-1-0,,2020-03-09
2,QR-2-0,,2020-03-09
3,QF1_1,3487.0,2020-03-09
4,QF1_2,3487.0,2020-03-09
5,QF1_3,3487.0,2020-03-09
6,QF2_1,49.0,2020-03-09
7,QF2_2,49.0,2020-03-09
8,QF2_3,49.0,2020-03-09
9,QF3,,2020-03-09
10,QF4_1,,2020-03-09
11,QF4_2,,2020-03-09
12,QF4_3,,2020-03-09
13,QF6_1,,2020-03-09
14,QF6_2,,2020-03-09
15,QF6_3,,2020-03-09
16,QF7,,2020-03-09
17,QF8,,2020-03-09
18,QF9,,2020-03-09
0,Q0-1,,2020-03-16
1,QR-1-0,,2020-03-16
2,QR-2-0,,2020-03-16
3,QF1_1,33404.0,2020-03-16
4,QF1_2,33404.0,2020-03-16
5,QF1_3,33404.0,2020-03-16
6,QF2_1,139061.0,2020-03-16
